BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20201001,KBS1,203102,205919,기막힌유산,,116회,전국,002817,드라마&영화,드라마,일일연속극,1.62406,2.42912,2.47946,3.84414,4.59943,6.36198,16.42793,3.60003,3.53605,1.90755,3.50376,4.34206,9.23224,18.27319,"부영배역:박인환,공계옥역:강세정,부설악역:신정윤,부백두역:강신조,윤민주역:이아현,부금강역:남성진,신애리역:김가연,정미희역:박순천,김용미역:이응경,부한라역:박신우,성판금역:조양자,부가온역:김비주,부태희역:김연지,부혜교역:김효경,부지현역:강유라,공소영역:김난주,이장원역:이일준,김수민역:조서후,김종두역:이춘식,차정건역:조순창,이청아역:정서하,손보미역:박민지,김영지역:주민하,강선희역:박현정,천호식역:백신,이정태역:노상보,고향숙역:박소정"
20201001,KBS2,080451,083231,기막힌유산,,115회,전국,002740,드라마&영화,드라마,일일연속극,0.5267,0,0.25679,0.53948,0.78695,1.28037,2.5468,0.0352,0.20973,0.91654,0.68701,0.63457,1.45754,2.60414,"부영배역:박인환,공계옥역:강세정,부설악역:신정윤,부백두역:강신조,윤민주역:이아현,부금강역:남성진,신애리역:김가연,정미희역:박순천,김용미역:이응경,부한라역:박신우,성판금역:조양자,부가온역:김비주,부태희역:김연지,부혜교역:김효경,부지현역:강유라,공소영역:김난주,이장원역:이일준,김수민역:조서후,김종두역:이춘식,차정건역:조순창,이청아역:정서하,손보미역:박민지,김영지역:주민하,강선희역:박현정,천호식역:백신,이정태역:노상보,고향숙역:박소정"
20201001,SBS,160945,164217,앨리스,<1부>,9회,전국,003232,드라마&영화,드라마,미니시리즈,0.92038,0.0535,0.62534,0.4051,0.58524,1.70377,0.72212,0.54433,1.02391,0.73152,0.66598,1.34897,1.1699,1.1951,"윤태이역:김희선,박진겸역:주원,박선영역:김희선,유민혁역:곽시양,김도연역:이다인,고형석역:김상호,석오원역:최원영,김동호역:이재윤,오시영역:황승언,태이부역:최정우,윤종수역:최홍일,태이모역:오영실,하용석역:정욱,김인숙역:배해선,이세훈역:박인수,김정배역:민준호,기철암역:김경남,홍정욱역:송지혁,최승표역:양지일,정혜수역:김선아,정기훈역:이수웅,태연역:연우,은수모역:오연아,주해민역:윤주만,양홍섭역:이정현"
20201001,SBS,164357,171739,앨리스,<2부>,9회,전국,003342,드라마&영화,드라마,미니시리즈,1.40852,0.05763,0.94137,0.97121,0.68784,2.55665,1.25513,0.46872,1.19276,0.7457,1.03547,1.55656,1.79582,1.13604,"윤태이역:김희선,박진겸역:주원,박선영역:김희선,유민혁역:곽시양,김도연역:이다인,고형석역:김상호,석오원역:최원영,김동호역:이재윤,오시영역:황승언,태이부역:최정우,윤종수역:최홍일,태이모역:오영실,하용석역:정욱,김인숙역:배해선,이세훈역:박인수,김정배역:민준호,기철암역:김경남,홍정욱역:송지혁,최승표역:양지일,정혜수역:김선아,정기훈역:이수웅,태연역:연우,은수모역:오연아,주해민역:윤주만,양홍섭역:이정현"
20201001,SBS,172841,180153,앨리스,<1부>,10회,전국,003312,드라마&영화,드라마,미니시리즈,0.26715,0.52667,0.80195,0.46868,0.80212,1.66224,1.25861,0,0.81786,0.44502,0.86799,1.58596,1.44005,1.39219,"윤태이역:김희선,박진겸역:주원,박선영역:김희선,유민혁역:곽시양,김도연역:이다인,고형석역:김상호,석오원역:최원영,김동호역:이재윤,오시영역:황승언,태이부역:최정우,윤종수역:최홍일,태이모역:오영실,하용석역:정욱,김인숙역:배해선,이세훈역:박인수,김정배역:민준호,기철암역:김경남,홍정욱역:송지혁,최승표역:양지일,정혜수역:김선아,정기훈역:이수웅,태연역:연우,은수모역:오연아,주해민역:윤주만,양홍섭역:이정현"
20201001,SBS,180333,182947,앨리스,<2부>,10회,전국,002614,드라마&영화,드라마,미니시리즈,1.12608,0.78066,1.15198,0.67155,1.38859,2.01241,1.53216,0,1.66092,0.47375,1.31669,2.30902,2.12759,1.13753,"윤태이역:김희선,박진겸역:주원,박선영역:김희선,유민혁역:곽시양,김도연역:이다인,고형석역:김상호,석오원역:최원영,김동호역:이재윤,오시영역:황승언,태이부역:최정우,윤종수역:최홍일,태이모역:오영실,하용석역:정욱,김인숙역:배해선,이세훈역:박인수,김정배역:민준호,기철암역:김경남,홍정욱역:송지혁,최승표역:양지일,정혜수역:김선아,정기훈역:이수웅,태연역:연우,은수모역:오연아,주해민역:윤주만,양홍섭역:이정현"
20201001,OBS,095001,104821,기황후,,32회,전국,005820,드라마&영화,드라마,주간연속극,0,0,0,0,0,0.13156,0.24189,0,0,0.01645,0,0.17638,0.02765,0.29555,"기승냥역:하지원,왕유역:주진모,타환역:지창욱,타나실리역:백진희,황태후역:김서형,연철역:전국환,왕고역:이재용,장순용역:김명국,독만역:이원종,방신우역:이문식,백안역:김영호,점박이역:윤용현,염병수역:정웅인,박불화역:최무성,최무송역:권오중,당기세역:김정현,탈탈역:진이한,연화역:윤아정,탑자해역:임성규,고용보역:차광수,경화공주역:류현경,꾀보역:신승환,기자오역:김명수,박씨역:한혜린,연비수역:유인영,서상궁역:서이숙,노상궁역:이응경,막생역:송경철,나무역:주노,흑수역:오광록,골타역:조재윤,점술가역:심이영,국수역:정윤,오재인역:전세현,주술사역:박해미,바얀후투그역:임주은,수리역:서인우,발라첩목아역:최현,홍단역:이지현,우희역:박하나"
20201001,OBS,182500,192323,기황후,,33회,전국,005823,드라마&영화,드라마,주간연속극,0,0,0.03914,0,0,0.79664,0.43769,0,0.19084,0.13422,0.00509,0.04054,0.28729,0.53638,"기승냥역:하지원,왕유역:주진모,타환역:지창욱,타나실리역:백진희,황태후역:김서형,연철역:전국환,왕고역:이재용,장순용역:김명국,독만역:이원종,방신우역:이문식,백안역:김영호,점박이역:윤용현,염병수역:정웅인,박불화역:최무성,최무송역:권오중,당기세역:김정현,탈탈역:진이한,연화역:윤아정,탑자해역:임성규,고용보역:차광수,경화공주역:류현경,꾀보역:신승환,기자오역:김명수,박씨역:한혜린,연비수역:유인영,서상궁역:서이숙,노상궁역:이응경,막생역:송경철,나무역:주노,흑수역:오광록,골타역:조재윤,점술가역:심이영,국수역:정윤,오재인역:전세현,주술사역:박해미,바얀후투그역:임주은,수리역:서인우,발라첩목아역:최현,홍단역:이지현,우희역:박하나"
20201001,채널A,035821,040728,거짓말의거짓말,,,전국,000907,드라마&영화,드라마,미니시리즈,0,0,0,0,0,0,0.09318,0,0,0,0,0,0.1992,0.10495,"지은수역:이유리,강지민역:연정훈,김호란역:이일화,은세미역:임주은,김연준역:권화운,강우주역:고나희,윤상규역:이원종,정미진역:고수희,황효순역:임예진,강승화역:김승환,강지경역:정시아,김웅역:권혁현,서형국역:최대성,최현빈역:윤성모,정소리역:이송이,전봉구역:임승대,전진국역:임한빈,지동리역:남명렬,전기범역:송재희"
20201001,채널A,141807,152151,거짓말의거짓말,,4회,전국,010344,드라마&영화,드라마,미니시리즈,0.13056,0.01422,0.26316,0.30521,0.61545,0.78218,0.28355,0.06411,0.07827,0.30173,0.45099,0.31417,0.85256,0.72375,"지은수역:이유리,강지민역:연정훈,김호란역:이일화,은세미역:임주은,김연준역:권화운,강우주역:고나희,윤상규역:이원종,정미진역:고수희,황효순역:임예진,강승화역:김승환,강지경역:정시아,김웅역:권혁현,서형국역:최대성,최현빈역:윤성모,정소리역:이송이,전봉구역:임승대,전진국역:임한빈,지동리역:남명렬,전기범역:송재희"
