BRDCST_DE,BRDCST_END_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20210501,20210501,KBS2,075956,083338,오케이광자매,<1부>,12회,전국,003342,드라마&영화,드라마,주말연속극,0.22337,0.25366,0.1751,0.65885,0.79049,0.89858,1.62206,0,0.64031,0.69119,0.31128,0.80349,1.24517,1.55594,"이철수역:윤주상,이광남역:홍은희,이광식역:전혜빈,이광태역:고원희,한예슬역:김경남,오봉자역:이보희,한돌세역:이병준,배변호역:최대철,신마리아역:하재숙,허기진역:설정환,오탱자역:김혜선,오뚜기역:홍제이,나편승역:손우현,허풍진역:주석태,지풍년역:이상숙,변사채역:고건한,변공채역:김민호,서성대역:이명호,시부역:송영재,시모역:김나윤,나편해역:서윤아,이태리역:천이슬"
20210501,20210501,KBS2,083452,090959,오케이광자매,<2부>,12회,전국,003507,드라마&영화,드라마,주말연속극,0.23134,0.27341,0.67362,1.01392,1.23157,2.08828,2.53998,1.86887,0.89084,0.93254,0.73445,1.39384,2.48803,2.5204,"이철수역:윤주상,이광남역:홍은희,이광식역:전혜빈,이광태역:고원희,한예슬역:김경남,오봉자역:이보희,한돌세역:이병준,배변호역:최대철,신마리아역:하재숙,허기진역:설정환,오탱자역:김혜선,오뚜기역:홍제이,나편승역:손우현,허풍진역:주석태,지풍년역:이상숙,변사채역:고건한,변공채역:김민호,서성대역:이명호,시부역:송영재,시모역:김나윤,나편해역:서윤아,이태리역:천이슬"
20210501,20210501,KBS2,195956,203826,오케이광자매,<1부>,13회,전국,003830,드라마&영화,드라마,주말연속극,3.30988,2.34217,2.4388,3.59182,5.69712,13.66671,20.05065,2.65156,5.85909,6.30109,5.24509,8.61513,16.74956,24.08681,"이철수역:윤주상,이광남역:홍은희,이광식역:전혜빈,이광태역:고원희,한예슬역:김경남,오봉자역:이보희,한돌세역:이병준,배변호역:최대철,신마리아역:하재숙,허기진역:설정환,오탱자역:김혜선,오뚜기역:홍제이,나편승역:손우현,허풍진역:주석태,지풍년역:이상숙,변사채역:고건한,변공채역:김민호,서성대역:이명호,시부역:송영재,시모역:김나윤,나편해역:서윤아,이태리역:천이슬"
20210501,20210501,KBS2,204055,211212,오케이광자매,<2부>,13회,전국,003117,드라마&영화,드라마,주말연속극,4.05151,3.39091,2.98377,5.1426,7.10583,15.78496,24.14013,4.96038,7.4225,6.64777,7.21026,10.49806,21.19956,28.08859,"이철수역:윤주상,이광남역:홍은희,이광식역:전혜빈,이광태역:고원희,한예슬역:김경남,오봉자역:이보희,한돌세역:이병준,배변호역:최대철,신마리아역:하재숙,허기진역:설정환,오탱자역:김혜선,오뚜기역:홍제이,나편승역:손우현,허풍진역:주석태,지풍년역:이상숙,변사채역:고건한,변공채역:김민호,서성대역:이명호,시부역:송영재,시모역:김나윤,나편해역:서윤아,이태리역:천이슬"
20210501,20210501,MBC,132932,140030,오주인님,<1부>,11회,전국,003058,드라마&영화,드라마,미니시리즈,1.14989,0.09871,0.076,0.44506,1.04352,0.98159,0.65314,0.32606,0.12843,0.0688,0.38722,0.39664,1.02346,0.73867,"한비수역:이민기,오주인역:나나,정유진역:강민혁,강해진역:이휘향,한민준역:선우재덕,윤정화역:김호정,오현철역:조승연,유대영역:김광식,김창규역:김창완,정재환역:송유택,정상은역:배해선,김이나역:우희진,배광자역:이현정,박건호역:장의수,정유라역:전익령,화이트맨역:강승호,김지연역:솔빈,오희정역:박주희,타로술사역:정시아"
20210501,20210501,MBC,140244,143100,오주인님,<2부>,11회,전국,002816,드라마&영화,드라마,미니시리즈,1.44375,0.41881,0.37629,0.19614,0.89261,1.05228,0.40378,0.17961,0.1469,0.4983,0.61165,0.45378,1.00635,0.74268,"한비수역:이민기,오주인역:나나,정유진역:강민혁,강해진역:이휘향,한민준역:선우재덕,윤정화역:김호정,오현철역:조승연,유대영역:김광식,김창규역:김창완,정재환역:송유택,정상은역:배해선,김이나역:우희진,배광자역:이현정,박건호역:장의수,정유라역:전익령,화이트맨역:강승호,김지연역:솔빈,오희정역:박주희,타로술사역:정시아"
20210501,20210501,MBC,143958,150821,오주인님,<1부>,12회,전국,002823,드라마&영화,드라마,미니시리즈,0.03987,0.25322,1.04897,0.33263,1.42012,0.41975,0.50866,0.6263,0.74205,0.20048,0.20746,0.80992,0.99991,0.45741,"한비수역:이민기,오주인역:나나,정유진역:강민혁,강해진역:이휘향,한민준역:선우재덕,윤정화역:김호정,오현철역:조승연,유대영역:김광식,김창규역:김창완,정재환역:송유택,정상은역:배해선,김이나역:우희진,배광자역:이현정,박건호역:장의수,정유라역:전익령,화이트맨역:강승호,김지연역:솔빈,오희정역:박주희,타로술사역:정시아"
20210501,20210501,MBC,150949,154045,오주인님,<2부>,12회,전국,003056,드라마&영화,드라마,미니시리즈,0.76826,0.49325,0.82238,1.23732,2.54327,1.22079,1.04899,1.59226,1.1388,0.78878,1.14577,2.18955,1.2333,1.15742,"한비수역:이민기,오주인역:나나,정유진역:강민혁,강해진역:이휘향,한민준역:선우재덕,윤정화역:김호정,오현철역:조승연,유대영역:김광식,김창규역:김창완,정재환역:송유택,정상은역:배해선,김이나역:우희진,배광자역:이현정,박건호역:장의수,정유라역:전익령,화이트맨역:강승호,김지연역:솔빈,오희정역:박주희,타로술사역:정시아"
20210501,20210501,SBS,020000,020153,펜트하우스2,<2부>,4회,전국,000153,드라마&영화,드라마,미니시리즈,0,0.15312,0.17599,0,0.35497,0.70269,0.38537,0,0.1425,0.35097,0.24177,0.59888,0.25758,0.28196,"오윤희역:유진,천서진역:김소연,심수련역:이지아,주단태역:엄기준,강마리역:신은경,이규진역:봉태규,하윤철역:윤종훈,로건리역:박은석,고상아역:윤주희,마두기역:하도권,진분홍역:안연홍,양미옥역:김로사,조비서역:김동규,도비서역:김도현,배로나역:김현수,유제니역:진지희,주석훈역:김영대,민설아역:조수민,주석경역:한지현,하은별역:최예빈,이민혁역:이태빈,주혜인역:나소예,천서영역:신서현,나애교역:이지아"
20210501,20210501,SBS,220241,223443,모범택시,<1부>,8회,전국,003202,드라마&영화,드라마,미니시리즈,2.05222,2.19624,3.04064,3.30488,8.00926,9.02009,4.62472,5.35729,5.48024,3.85665,5.65185,8.24566,8.6175,5.08373,"김도기역:이제훈,강하나역:이솜,장성철역:김의성,안고은역:표예진,대모역:차지연,최주임역:장혁진,박주임역:배유람,조진우역:유승목,왕수사관역:이유준,구비서역:이호철"
