BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20200201,KBS2,165146,172647,사랑은뷰티풀인생은원더풀,<67회>,67회,전국,003501,드라마&영화,드라마,주말연속극,0.34524,0.03566,0.34502,0.71029,0.75391,0.86208,2.242,0.01146,0.03223,0.58465,1.22998,0.9781,1.97459,3.3295,"김청아역:설인아,구준휘역:김재영,김설아역:조윤희,문태랑역:윤박,도진우역:오민석,선우영애역:김미숙,김영웅역:박영규,홍유라역:나영희,홍화영역:박해미,문준익역:정원중,문해랑역:조우리,문파랑역:류의현,김연아역:조유정,백림역:김진엽,강시월역:이태선,나태평역:박영수,오덕희역:김보정,김보통역:김은수"
20200201,KBS2,172801,175611,사랑은뷰티풀인생은원더풀,<68회>,68회,전국,002810,드라마&영화,드라마,주말연속극,1.04164,0.15445,0.7934,0.66734,1.36758,1.30697,3.35204,0.66869,0.17941,0.89217,1.3316,1.88541,2.01436,5.46533,"김청아역:설인아,구준휘역:김재영,김설아역:조윤희,문태랑역:윤박,도진우역:오민석,선우영애역:김미숙,김영웅역:박영규,홍유라역:나영희,홍화영역:박해미,문준익역:정원중,문해랑역:조우리,문파랑역:류의현,김연아역:조유정,백림역:김진엽,강시월역:이태선,나태평역:박영수,오덕희역:김보정,김보통역:김은수"
20200201,KBS2,195854,203420,사랑은뷰티풀인생은원더풀,<69회>,69회,전국,003526,드라마&영화,드라마,주말연속극,4.08754,3.36296,2.2933,3.93439,5.33792,9.55108,20.34145,2.75053,3.355,3.47747,6.7163,7.73957,17.61363,27.89915,"김청아역:설인아,구준휘역:김재영,김설아역:조윤희,문태랑역:윤박,도진우역:오민석,선우영애역:김미숙,김영웅역:박영규,홍유라역:나영희,홍화영역:박해미,문준익역:정원중,문해랑역:조우리,문파랑역:류의현,김연아역:조유정,백림역:김진엽,강시월역:이태선,나태평역:박영수,오덕희역:김보정,김보통역:김은수"
20200201,KBS2,203634,210921,사랑은뷰티풀인생은원더풀,<70회>,70회,전국,003247,드라마&영화,드라마,주말연속극,5.00992,4.45801,3.57697,5.39313,7.07638,13.36782,24.17231,4.62952,5.05121,4.42905,7.96452,10.90319,22.7989,32.06777,"김청아역:설인아,구준휘역:김재영,김설아역:조윤희,문태랑역:윤박,도진우역:오민석,선우영애역:김미숙,김영웅역:박영규,홍유라역:나영희,홍화영역:박해미,문준익역:정원중,문해랑역:조우리,문파랑역:류의현,김연아역:조유정,백림역:김진엽,강시월역:이태선,나태평역:박영수,오덕희역:김보정,김보통역:김은수"
20200201,MBC,132602,135937,더게임0시를향하여,<6회>,6회,전국,003335,드라마&영화,드라마,미니시리즈,0.14165,0.50269,0.67317,1.68658,0.67557,1.16298,1.47907,1.05221,0.10265,0.47214,0.54577,0.73325,1.49948,1.60772,"김태평역:옥택연,서준영역:이연희,구도경역:임주환,백선생역:정동환,남우현역:박지일,이준희역:박원상,유지원역:장소연,한동우역:최재웅,구도경어린시절역:김강훈,윤강재역:신성민,고봉수역:이승우,지수현역:이봄,박한규역:홍인,오예지역:윤지원,이연화역:류혜린,이미진역:최다인,조필두역:김용준,정여사역:예수정,오성민역:양현민"
20200201,MBC,141753,144614,더게임0시를향하여,<7회>,7회,전국,002821,드라마&영화,드라마,미니시리즈,1.01004,0.51357,0.82619,0.47175,0.69931,1.51044,1.43005,0.4595,0.28074,0.43437,0.41952,1.3484,1.12328,2.06871,"김태평역:옥택연,서준영역:이연희,구도경역:임주환,백선생역:정동환,남우현역:박지일,이준희역:박원상,유지원역:장소연,한동우역:최재웅,구도경어린시절역:김강훈,윤강재역:신성민,고봉수역:이승우,지수현역:이봄,박한규역:홍인,오예지역:윤지원,이연화역:류혜린,이미진역:최다인,조필두역:김용준,정여사역:예수정,오성민역:양현민"
20200201,MBC,144728,152044,더게임0시를향하여,<8회>,8회,전국,003316,드라마&영화,드라마,미니시리즈,0.30933,0.66856,0.57039,1.16402,1.79073,1.78277,1.8268,0.24612,0.21877,0.61088,1.12101,1.39648,2.21568,2.11651,"김태평역:옥택연,서준영역:이연희,구도경역:임주환,백선생역:정동환,남우현역:박지일,이준희역:박원상,유지원역:장소연,한동우역:최재웅,구도경어린시절역:김강훈,윤강재역:신성민,고봉수역:이승우,지수현역:이봄,박한규역:홍인,오예지역:윤지원,이연화역:류혜린,이미진역:최다인,조필두역:김용준,정여사역:예수정,오성민역:양현민"
20200201,MBC,210443,213043,두번은없다,<49회>,49회,전국,002600,드라마&영화,드라마,주말연속극,1.0314,1.3149,0.71761,2.3045,0.85457,4.57096,6.41221,0,1.64576,2.28419,3.27153,2.37312,8.27815,9.6672,"복막례역:윤여정,금박하역:박세완,나해준역:곽동연,감풍기역:오지호,방은지역:예지원,나해리역:박아인,김우재역:송원석,최거복역:주현,나왕삼역:한진희,도도희역:박준금,오인숙역:황영희,최만호역:정석용,양금희역:고수희"
20200201,MBC,213141,215811,두번은없다,<50회>,50회,전국,002630,드라마&영화,드라마,주말연속극,1.16861,1.77023,1.06952,1.69512,1.06266,5.42105,7.87518,0.13616,1.84938,3.06031,3.32477,2.57823,10.23995,12.05869,"복막례역:윤여정,금박하역:박세완,나해준역:곽동연,감풍기역:오지호,방은지역:예지원,나해리역:박아인,김우재역:송원석,최거복역:주현,나왕삼역:한진희,도도희역:박준금,오인숙역:황영희,최만호역:정석용,양금희역:고수희"
20200201,MBC,220623,223053,두번은없다,<51회>,51회,전국,002430,드라마&영화,드라마,주말연속극,2.24692,1.59596,1.23009,1.86865,1.67946,4.34497,8.31496,1.89545,1.76282,2.68219,3.72121,2.79509,8.47132,12.0104,"복막례역:윤여정,금박하역:박세완,나해준역:곽동연,감풍기역:오지호,방은지역:예지원,나해리역:박아인,김우재역:송원석,최거복역:주현,나왕삼역:한진희,도도희역:박준금,오인숙역:황영희,최만호역:정석용,양금희역:고수희"
