BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20210101,KBS1,203112,205919,누가뭐래도,,60회,전국,002807,드라마&영화,드라마,일일연속극,3.99855,3.66881,4.26234,5.3411,6.05215,9.41876,22.60157,10.64908,6.67382,4.04629,7.2603,6.4586,15.80698,25.25133,"김보라역:나혜미,신아리역:정민아,강대로역:최웅,나준수역:정헌,이해심역:도지원,신중한역:김유석,이맹수역:정한용,반찬성역:임투철,노금숙역:문희경,나승진역:김승욱,이지란역:조미령,김원태역:서태화,정난영역:이칸희,정벼리역:김하연,엄선한역:이슬아,한억심역:박철민,윤호준역:노성은"
20210101,KBS2,094911,101721,누가뭐래도,,59회,전국,002810,드라마&영화,드라마,일일연속극,3.20338,0.17111,0.83431,0.41355,1.02822,1.62501,2.30971,0,1.33908,0.57382,0.35241,1.26126,2.51236,1.9438,"김보라역:나혜미,신아리역:정민아,강대로역:최웅,나준수역:정헌,이해심역:도지원,신중한역:김유석,이맹수역:정한용,반찬성역:임투철,노금숙역:문희경,나승진역:김승욱,이지란역:조미령,김원태역:서태화,정난영역:이칸희,정벼리역:김하연,엄선한역:이슬아,한억심역:박철민,윤호준역:노성은"
20210101,KBS2,142326,145859,오삼광빌라,<1부>,29회,전국,003533,드라마&영화,드라마,주말연속극,1.66476,0.49169,0.55878,1.13463,0.22374,0.67317,1.27089,0.14791,0.16965,0.14008,0.76554,0.23464,1.01417,1.30055,"이순정역:전인화,우정후역:정보석,김정원역:황신혜,우재희역:이장우,이빛채운역:진기주,정민재역:진경,이만정역:김선영,김확세역:인교진,이춘석역:정재순,박필홍역:엄효섭,장서아역:한보름,황나로역:전성우,이해든역:보나,이라훈역:려운,장준아역:동하,차바른역:김시은,정민석역:이승형"
20210101,KBS2,150014,153437,오삼광빌라,<2부>,29회,전국,003423,드라마&영화,드라마,주말연속극,1.71066,0.16466,0.81739,0.83963,0.33307,0.97115,1.83509,0.29581,0.20094,0.15237,0.74824,0.30877,1.03649,2.12573,"이순정역:전인화,우정후역:정보석,김정원역:황신혜,우재희역:이장우,이빛채운역:진기주,정민재역:진경,이만정역:김선영,김확세역:인교진,이춘석역:정재순,박필홍역:엄효섭,장서아역:한보름,황나로역:전성우,이해든역:보나,이라훈역:려운,장준아역:동하,차바른역:김시은,정민석역:이승형"
20210101,KBS2,154506,161957,오삼광빌라,<1부>,30회,전국,003451,드라마&영화,드라마,주말연속극,1.57211,0.03617,0.75902,0.94324,0.76457,0.83138,1.50615,2.41115,0.22382,0.16787,0.58009,0.72008,1.60831,1.86178,"이순정역:전인화,우정후역:정보석,김정원역:황신혜,우재희역:이장우,이빛채운역:진기주,정민재역:진경,이만정역:김선영,김확세역:인교진,이춘석역:정재순,박필홍역:엄효섭,장서아역:한보름,황나로역:전성우,이해든역:보나,이라훈역:려운,장준아역:동하,차바른역:김시은,정민석역:이승형"
20210101,KBS2,162112,165531,오삼광빌라,<2부>,30회,전국,003419,드라마&영화,드라마,주말연속극,1.62414,0.16632,0.66225,0.93223,1.10622,1.46022,1.90691,1.62536,0.37799,0.55135,1.04892,1.11057,1.94572,2.22477,"이순정역:전인화,우정후역:정보석,김정원역:황신혜,우재희역:이장우,이빛채운역:진기주,정민재역:진경,이만정역:김선영,김확세역:인교진,이춘석역:정재순,박필홍역:엄효섭,장서아역:한보름,황나로역:전성우,이해든역:보나,이라훈역:려운,장준아역:동하,차바른역:김시은,정민석역:이승형"
20210101,KBS2,195031,202548,비밀의남자,,77회,전국,003517,드라마&영화,드라마,일일연속극,4.99078,5.16953,4.80481,5.41038,7.00073,10.5333,20.99646,6.62056,7.22294,5.63237,7.38547,8.59394,16.79408,25.6938,"이태풍역:강은탁,한유정역:엄현경,한유라역:이채영,차서준역:이시강,한대철역:최재성,윤수희역:이일화,차우석역:홍일권,주화연역:김희정,여숙자역:김은수,차미리역:김윤경,구천수역:이정용,강상태역:이명호,한유명역:장태훈,강예진역:채빈,이경혜역:양미경,강상현역:이진우,최준석역:이루,박나영역:윤다영,신소영역:윤송아,한동호역:서우진,여봉준역:배도환,심부름센터직원역:백재진"
20210101,MBC,191316,194338,찬란한내인생,,122회,전국,003022,드라마&영화,드라마,일일연속극,0.74311,1.01873,2.36396,3.07662,3.57076,5.60584,6.62671,0.89664,2.43215,2.54719,2.16845,4.85578,7.72266,8.14441,"박복희역:심이영,고상아역:진예솔,장시경역:최성재,기차반역:원기준,고충역:이정길,조은임역:김영란,정영숙역:오미연,심숙역:양혜진,남지애역:한소영,박현희역:유하,이동윤역:정시훈,기은수역:최승훈,기은하역:권지민,임세라역:김민서,기신역:안석환,유정우역:강석정,배은빈역:최지연"
20210101,SBS,083625,090709,불새2020,,50회,전국,003044,드라마&영화,드라마,아침드라마,2.62011,1.29532,0.94098,1.64826,2.9238,3.84837,4.64244,1.96237,1.00764,0.57091,1.78579,2.28985,3.33367,6.10695,"이지은역:홍수아,장세훈역:이재우,서정민역:서하준,미란역:박영린,최명화역:성현아,신아준역:홍석,강사장역:강성진,서희수역:진미령,조현민역:김승현,박광철역:김병춘,남복자역:옥지영,김호진역:김호창,한나경역:오초희,서문수역:김종석,조현숙역:양혜진,장지욱역:신성균,이상범역:최령,이영은역:정서하,여진역:유이준,유나역:진유나,이안역:한민엽,대니역:박기표,서정인역:서하준"
20210101,SBS,220120,223152,날아라개천용,<1부>,13회,전국,003032,드라마&영화,드라마,미니시리즈,4.01544,2.7969,2.40796,2.94617,6.08327,5.81027,2.74646,9.32191,2.07569,1.75366,3.5,3.92301,6.71145,2.36241,"박태용역:권상우,박삼수역:정우성,이유경역:김주현,장윤석역:정웅인,강철우역:김응수,조기수역:조성하,김형춘역:김갑수,한상만역:이원종,황민경역:안시하,김병대역:박지일,김귀현역:이순원,이진실역:김혜화,강채은역:김윤경,강상현역:하경,최재필역:정희민,임수철역:윤주빈,이철규역:권동호,김원복역:어성욱,조덕종역:김균하,장해열역:조재룡,오재수역:지남혁,허재영역:곽민석,김두식역:지태양,이재성역:윤정일,안영권역:이철민,배승근역:장격수,봉준석역:남진복,윤희성역:박건,정명희역:채원빈,오재덕역:동방우,최동석역:류연석,김미영역:김경화,구혜영역:공현지,전다영역:신혜지,허성윤역:이종혁,박태용어린시절역:박상훈"
