BRDCST_DE,BRDCST_END_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20210801,20210801,SBS,020000,031445,라켓소년단,,15회,서울/경기/부산/대전/대구/광주/울산/강원/충남/전남/경북/경남/제주,011445,드라마&영화,드라마,미니시리즈,0.23962,0.18001,0.08991,1.12753,0.64466,0.58488,0.43659,0.32091,0.45151,0.43013,0.6468,0.8672,0.61514,0.77183,"윤현종역:김상경,라영자역:오나라,윤해강역:탕준상,방윤담역:손상연,나우찬역:최현욱,이용태역:김강훈,한세윤역:이재인,이한솔역:이지원,배감독역:신정근,정인솔역:김민기,홍이장역:우현,신여사역:백지원,도시남편역:정민성,도시아내역:박효주,할아버지역:신철진,오매할머니역:차미경,윤해인역:안세빈"
20210801,20210801,TV CHOSUN,153041,164014,결혼작사이혼작곡2,,13회,전국,010933,드라마&영화,드라마,주말연속극,0.06165,0.27627,0.95804,0.85298,1.28359,0.5719,2.38881,0,0.01466,0.32712,1.49357,1.00758,1.98685,3.03401,"판사현역:성훈,신유신역:이태곤,사피영역:박주미,부혜령역:이가령,송원역:이민영,이시은역:전수경,박해륜역:전노민,판문호역:김응수,김동미역:김보연,신기림역:노주현,모서향역:이효춘,소예정역:이종남,서반역:문성호,서동마역:부배,아미역:송지인,남가빈역:임혜영,조웅역:윤서현,박향기역:전혜원,박우람역:임한빈,신지아역:박서경,지수희역:윤해영"
20210801,20210801,TV CHOSUN,211310,214329,결혼작사이혼작곡2,<1부>,14회,전국,003019,드라마&영화,드라마,주말연속극,2.44652,1.2018,2.53079,1.15588,1.20438,4.92556,5.80924,1.27273,1.38622,1.32901,2.5422,4.61586,7.56598,9.09593,"판사현역:성훈,신유신역:이태곤,사피영역:박주미,부혜령역:이가령,송원역:이민영,이시은역:전수경,박해륜역:전노민,판문호역:김응수,김동미역:김보연,신기림역:노주현,모서향역:이효춘,소예정역:이종남,서반역:문성호,서동마역:부배,아미역:송지인,남가빈역:임혜영,조웅역:윤서현,박향기역:전혜원,박우람역:임한빈,신지아역:박서경,지수희역:윤해영"
20210801,20210801,TV CHOSUN,214448,222525,결혼작사이혼작곡2,<2부>,14회,전국,004037,드라마&영화,드라마,주말연속극,2.69161,1.61096,3.13901,1.66147,2.18192,6.42221,7.39367,2.1163,2.80924,2.17391,3.6167,5.42018,9.33722,12.02432,"판사현역:성훈,신유신역:이태곤,사피영역:박주미,부혜령역:이가령,송원역:이민영,이시은역:전수경,박해륜역:전노민,판문호역:김응수,김동미역:김보연,신기림역:노주현,모서향역:이효춘,소예정역:이종남,서반역:문성호,서동마역:부배,아미역:송지인,남가빈역:임혜영,조웅역:윤서현,박향기역:전혜원,박우람역:임한빈,신지아역:박서경,지수희역:윤해영"
20210801,20210801,tvN,020000,024914,보이스시즌4,,14회,전국,004914,드라마&영화,드라마,미니시리즈,0,0.36868,0.15194,0.68527,0.90783,0.53059,0.34765,0,1.0382,0.34371,0.01998,1.16645,0.39389,0.46824,"데릭조역:송승헌,강권주역:이하나,동방민역:이규형,박은수역:손은서,심대식역:백성현,박중기역:김중기,구광수역:송부건,한우주역:강승윤,채드역:한종훈,닉역:모리스"
20210801,20210801,tvN,091620,102938,악마판사,,9회,전국,011318,드라마&영화,드라마,미니시리즈,0.37427,1.51049,0.93324,0.62013,1.36568,1.75378,0.8882,0,1.77531,0.07589,0.56075,1.65496,1.51668,1.48446,"강요한역:지성,정선아역:김민정,김가온역:진영,윤수현역:박규영,민정호역:안내상,오진주역:김재경,차경희역:장영남,허중세역:백현진"
20210801,20210801,tvN,181508,192830,악마판사,,9회,전국,011322,드라마&영화,드라마,미니시리즈,0.06858,0.58727,0.92673,0.91988,0.48336,1.99612,0.75673,0.86943,0.4242,0.8784,0.75831,1.05713,2.43442,1.65858,"강요한역:지성,정선아역:김민정,김가온역:진영,윤수현역:박규영,민정호역:안내상,오진주역:김재경,차경희역:장영남,허중세역:백현진"
20210801,20210801,tvN,211750,222740,악마판사,,10회,전국,010950,드라마&영화,드라마,미니시리즈,0.20952,0.02548,1.69942,2.15914,2.62085,4.58056,2.66392,0.90585,1.77215,2.88077,2.80446,3.73101,5.55634,2.88774,"강요한역:지성,정선아역:김민정,김가온역:진영,윤수현역:박규영,민정호역:안내상,오진주역:김재경,차경희역:장영남,허중세역:백현진"
20210802,20210802,tvN,002215,013149,악마판사,,10회,전국,010934,드라마&영화,드라마,미니시리즈,0,0,0.25443,0.75687,0.6668,0.94965,0.72338,0.63288,0.37606,0.2667,0.65889,1.62217,0.79739,1.09283,"강요한역:지성,정선아역:김민정,김가온역:진영,윤수현역:박규영,민정호역:안내상,오진주역:김재경,차경희역:장영남,허중세역:백현진"
20210801,20210801,AXN,100010,111850,우아한모녀,,25회/26회,전국,011840,드라마&영화,드라마,일일연속극,0,0,0,0.00714,0.01276,0.00571,0.00167,0,0,0,0.00994,0,0,0.00181,"차미연역:최명길,한유진역:차예련,구해준역:김흥수,구재명역:김명수,서은하역:지수원,홍인철역:이훈,조윤경역:조경숙,설미향역:김보미,홍세라역:오채이,조회장역:반효정,데니정역:이해우,오비서역:이주은,한명호역:이정훈,필립역:신수오,나기주역:민준현,박원장역:최완정,김희정역:최나무,황도리(구도리)역:송민재,황자영역:이시유,마과장역:신서하,차대리역:차다영"
