BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20200101,KBS1,203053,205919,꽃길만걸어요,,47회,전국,002826,드라마&영화,드라마,일일연속극,2.31691,3.42773,2.95872,4.5328,5.40231,10.87155,22.44198,2.53181,3.65313,3.49992,3.91898,7.94122,16.80257,28.77101,"강여원역:최윤소,봉천동역:설정환,김지훈역:심지호,황수지역:정유민,왕꼰닙역:양희경,황병래역:선우재덕,강규철역:김규철,구윤경역:경숙,남일남역:조희봉,남지영역:정소영,장상문역:류담,남이남역:나인우,봉선화역:이유진,강여주역:김이경,남동우역:임지규,남보람역:이아라,장영재역:김지훈,양진희역:이다니,배성호역:김오복,짠티짱역:홍지희,최만섭역:김중돈,윤정숙역:김미라,이푸름역:김태원"
20200101,KBS2,083326,090158,꽃길만걸어요,,46회,전국,002832,드라마&영화,드라마,일일연속극,1.0093,0.29955,0.2808,0.43046,0.54565,0.88039,1.54432,0.02074,0.31538,0.20146,0.20803,0.07472,1.27827,1.79623,"강여원역:최윤소,봉천동역:설정환,김지훈역:심지호,황수지역:정유민,왕꼰닙역:양희경,황병래역:선우재덕,강규철역:김규철,구윤경역:경숙,남일남역:조희봉,남지영역:정소영,장상문역:류담,남이남역:나인우,봉선화역:이유진,강여주역:김이경,남동우역:임지규,남보람역:이아라,장영재역:김지훈,양진희역:이다니,배성호역:김오복,짠티짱역:홍지희,최만섭역:김중돈,윤정숙역:김미라,이푸름역:김태원"
20200101,KBS2,142127,152323,99억의여자,<13회/14회>,13회/14회,전국,010156,드라마&영화,드라마,미니시리즈,0.49391,0.68236,0.07206,0.55261,0.75556,1.07131,0.71185,0.20255,0,0.35307,0.53111,0.67473,0.8816,1.06211,"정서연역:조여정,강태우역:김강우,홍인표역:정웅인,윤희주역:오나라,이재훈역:이지훈,윤호성역:김병기,이유리역:옥예린,장금자역:길해연,오대용역:서현철,강태현역:현우,김석역:유영재,지하나역:신수현,김도학역:양현민,서민규역:김도현,박준배역:이병훈,흑곰역:구성환,조실장역:윤서현,진역:서이안,백승재역:정성일,레온역:임태경"
20200101,KBS2,153014,163125,99억의여자,<15회/16회>,15회/16회,전국,010111,드라마&영화,드라마,미니시리즈,0.19588,0.58953,0.01523,0.06159,1.00632,1.44457,1.05063,0.88926,0.02518,0.48745,0.51224,0.61871,1.50653,1.4979,"정서연역:조여정,강태우역:김강우,홍인표역:정웅인,윤희주역:오나라,이재훈역:이지훈,윤호성역:김병기,이유리역:옥예린,장금자역:길해연,오대용역:서현철,강태현역:현우,김석역:유영재,지하나역:신수현,김도학역:양현민,서민규역:김도현,박준배역:이병훈,흑곰역:구성환,조실장역:윤서현,진역:서이안,백승재역:정성일,레온역:임태경"
20200101,KBS2,194916,202238,우아한모녀,,42회,전국,003322,드라마&영화,드라마,일일연속극,4.11311,4.12382,2.79803,4.333,5.15422,7.69701,17.69207,2.516,3.26305,4.38414,3.87972,6.83991,13.70226,23.24382,"차미연역:최명길,한유진역:차예련,구해준역:김흥수,구재명역:김명수,서은하역:지수원,홍인철역:이훈,조윤경역:조경숙,설미향역:김보미,홍세라역:오채이,조회장역:반효정,데니정역:이해우,오비서역:이주은,한명호역:이정훈,필립역:신수오,나기주역:민준현,박원장역:최완정,김희정역:최나무,황도리(구도리)역:송민재,황자영역:이시유,마과장역:신서하,차대리역:차다영"
20200101,KBS2,220034,222624,99억의여자,<17회>,17회,전국,002550,드라마&영화,드라마,미니시리즈,0.81021,2.13195,1.72378,2.60845,3.80785,6.43053,6.56469,0.94987,2.95582,2.92061,3.82613,6.02838,8.992,7.89391,"정서연역:조여정,강태우역:김강우,홍인표역:정웅인,윤희주역:오나라,이재훈역:이지훈,윤호성역:김병기,이유리역:옥예린,장금자역:길해연,오대용역:서현철,강태현역:현우,김석역:유영재,지하나역:신수현,김도학역:양현민,서민규역:김도현,박준배역:이병훈,흑곰역:구성환,조실장역:윤서현,진역:서이안,백승재역:정성일,레온역:임태경"
20200101,KBS2,222737,230803,99억의여자,<18회>,18회,전국,004026,드라마&영화,드라마,미니시리즈,2.44739,2.38447,2.01118,2.87699,4.04482,9.63578,7.33323,1.54751,3.67733,5.09858,3.71042,8.22738,12.19072,9.19361,"정서연역:조여정,강태우역:김강우,홍인표역:정웅인,윤희주역:오나라,이재훈역:이지훈,윤호성역:김병기,이유리역:옥예린,장금자역:길해연,오대용역:서현철,강태현역:현우,김석역:유영재,지하나역:신수현,김도학역:양현민,서민규역:김도현,박준배역:이병훈,흑곰역:구성환,조실장역:윤서현,진역:서이안,백승재역:정성일,레온역:임태경"
20200101,MBC,075256,082516,나쁜사랑,,23회,전국,003220,드라마&영화,드라마,아침드라마,0.92056,0.36288,0.18607,1.15603,0.1861,0.97626,4.76825,0,0.5009,0.22824,0.50954,0.8269,2.64598,4.87876,"최소원역:신고은,한재혁역:이선호,황연수역:오승아,한민혁역:윤종화,최호진역:전승빈,한유진역:심은진,장화란역:정애리,한태석역:남경읍,송단실역:이상숙,박상태역:전진기,최은혜역:차민지,최하은역:이예빛"
20200101,MBC,205647,212455,하자있는인간들,<21회>,21회,전국,002808,드라마&영화,드라마,미니시리즈,0.34488,0.32813,0.20679,1.23888,1.39264,1.64125,1.64846,0,0.42345,1.41593,0.94427,2.27862,1.95283,2.1072,"주서연역:오연서,이강우역:안재현,김미경역:김슬기,이민혁역:구원,박현수역:허정민,이강희역:황우슬혜,주원재역:민우혁,주원석역:차인하,한회장역:김영옥,강우부역:윤다훈,오여사역:윤해영,김박사역:서동원,백장미역:신도현,주서준역:김재용,이주희역:주해은,최호돌역:장유상,한정호역:임현태,박석민역:신지훈,교감선생님역:박영수,교무주임역:권오경,데이트남역:강태오"
20200101,MBC,212608,220027,하자있는인간들,<22회>,22회,전국,003419,드라마&영화,드라마,미니시리즈,0.47562,0.56993,0.46494,0.94741,2.04618,2.1325,2.15824,0.03975,1.12784,1.01741,1.65985,3.08404,2.3181,3.03022,"주서연역:오연서,이강우역:안재현,김미경역:김슬기,이민혁역:구원,박현수역:허정민,이강희역:황우슬혜,주원재역:민우혁,주원석역:차인하,한회장역:김영옥,강우부역:윤다훈,오여사역:윤해영,김박사역:서동원,백장미역:신도현,주서준역:김재용,이주희역:주해은,최호돌역:장유상,한정호역:임현태,박석민역:신지훈,교감선생님역:박영수,교무주임역:권오경,데이트남역:강태오"
20200101,SBS,083713,090829,맛좀보실래요,,37회,전국,003116,드라마&영화,드라마,아침드라마,0,0.72943,0.83085,1.60119,2.48406,2.92741,5.63684,0.05822,1.3101,0.32582,1.6778,2.56248,5.087,6.62146,"강해진역:심이영,오대구역:서도영,이진상역:서하준,정주리역:한가림,배유란역:이슬아,정준후역:최우석,오옥분역:이덕희,강철진역:송인국,이유리역:신비,이백수역:임채무,이진봉역:안예인,한정원역:김정화,도여사역:이현경,오광주역:장선율"
20200101,SBS,163123,170028,스토브리그,<1부>,4회,서울/경기/부산/광주/울산/강원/충북/전북/전남/경남/제주,002905,드라마&영화,드라마,미니시리즈,1.48932,0.5907,0.41909,0.86559,0.78117,2.17438,1.57089,0.55088,0.28066,0.73387,0.43582,1.52459,1.35298,2.37123,"백승수역:남궁민,이세영역:박은빈,권경민역:오정세,한재희역:조병규,고강선역:손종학,고세혁역:이준혁,양원섭역:윤병희,유경택역:김도현,임미선역:김수진,변치훈역:박진우,장우석역:김기무,장진우역:홍기준,유민호역:채종협,임동규역:조한선,서영주역:차엽,곽한영역:김동원,강태민역:김봉만,이용재역:장원형,윤성복역:이얼,최용구역:손광업,이철민역:김민상,민태성역:서호철,김종무역:이대연,오사훈역:송영규,김영채역:박소진,강두기역:하도권,이창권역:김강민,유정인역:김정화,백영수역:윤선우,정미숙역:윤복인,권일도역:전국환,천흥만역:이규호,길창주역:이용우,김기범역:문원주,권경준역:홍인,허진욱역:하수호,이제훈역:이제훈,이준모역:구성환"
