BRDCST_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20201201,KBS1,203109,205920,누가뭐래도,,37회,전국,002811,드라마&영화,드라마,일일연속극,1.96216,3.41661,1.38252,3.32011,3.63439,8.61434,19.48783,1.44223,1.1374,2.69753,3.29443,4.26001,12.53272,23.44512,"김보라역:나혜미,신아리역:정민아,강대로역:최웅,나준수역:정헌,이해심역:도지원,신중한역:김유석,이맹수역:정한용,반찬성역:임투철,노금숙역:문희경,나승진역:김승욱,이지란역:조미령,김원태역:서태화,정난영역:이칸희,정벼리역:김하연,엄선한역:이슬아,한억심역:박철민,윤호준역:노성은"
20201201,KBS2,100149,102942,누가뭐래도,,36회,전국,002753,드라마&영화,드라마,일일연속극,0.06387,0.75577,0.32915,0.03349,0.61863,0.31335,1.43942,0,0.77731,0.24461,0.12311,0.80695,0.76848,1.84555,"김보라역:나혜미,신아리역:정민아,강대로역:최웅,나준수역:정헌,이해심역:도지원,신중한역:김유석,이맹수역:정한용,반찬성역:임투철,노금숙역:문희경,나승진역:김승욱,이지란역:조미령,김원태역:서태화,정난영역:이칸희,정벼리역:김하연,엄선한역:이슬아,한억심역:박철민,윤호준역:노성은"
20201201,KBS2,195143,202641,비밀의남자,,54회,전국,003458,드라마&영화,드라마,일일연속극,4.19763,4.7874,4.44924,5.11118,8.12979,11.58129,15.47865,1.80296,5.02831,4.0049,4.92665,9.06235,15.34594,18.76883,"이태풍역:강은탁,한유정역:엄현경,한유라역:이채영,차서준역:이시강,한대철역:최재성,윤수희역:이일화,차우석역:홍일권,주화연역:김희정,여숙자역:김은수,차미리역:김윤경,구천수역:이정용,강상태역:이명호,한유명역:장태훈,강예진역:채빈,이경혜역:양미경,강상현역:이진우,최준석역:이루,박나영역:윤다영,신소영역:윤송아,한동호역:서우진,여봉준역:배도환,심부름센터직원역:백재진"
20201201,MBC,085244,092146,찬란한내인생,,100회,전국,002902,드라마&영화,드라마,일일연속극,0.16143,0.30938,0.35529,0.46237,0.45979,1.18088,2.00998,0.22566,0.56818,0.32045,1.04461,1.33011,2.05709,2.43156,"박복희역:심이영,고상아역:진예솔,장시경역:최성재,기차반역:원기준,고충역:이정길,조은임역:김영란,정영숙역:오미연,심숙역:양혜진,남지애역:한소영,박현희역:유하,이동윤역:정시훈,기은수역:최승훈,기은하역:권지민,임세라역:김민서,기신역:안석환,유정우역:강석정"
20201201,MBC,104415,111725,카이로스,<1부>,9회,전국,003310,드라마&영화,드라마,미니시리즈,0,0.12552,0.14073,0.48524,0.05282,0.50048,0.99387,0.06789,0,0.1807,0.08924,1.01383,0.58731,1.15165,"김서진역:신성록,한애리역:이세영,서도균역:안보현,강현채역:남규리,임건욱역:강승윤,박수정역:이주명,곽송자역:황정민,유서일역:신구,김진호역:고규필,이택규역:조동인,박호영역:임철형,정혜경역:소희정,최덕호역:전광진,이태우역:정성준,강병석역:이태구,김서진어린시절역:이정준,김다빈역:심혜연,퀵배달부역:이시언"
20201201,MBC,111734,115548,카이로스,<2부>,9회,전국,003814,드라마&영화,드라마,미니시리즈,0.11683,0,0.26479,0.35871,0.29842,0.47419,0.96399,0,0.04679,0.171,0.20935,1.44811,0.59955,1.18978,"김서진역:신성록,한애리역:이세영,서도균역:안보현,강현채역:남규리,임건욱역:강승윤,박수정역:이주명,곽송자역:황정민,유서일역:신구,김진호역:고규필,이택규역:조동인,박호영역:임철형,정혜경역:소희정,최덕호역:전광진,이태우역:정성준,강병석역:이태구,김서진어린시절역:이정준,김다빈역:심혜연,퀵배달부역:이시언"
20201201,MBC,171445,173954,제발그남자만나지마요,<1부>,3회,서울/경기/부산/대전/대구/광주/울산/강원/충북/충남/전북/전남/경북/제주,002509,드라마&영화,드라마,미니시리즈,0.08755,0.19207,0.08444,0.32812,0.44632,0.15696,0.96392,0.13442,0.1259,0.08025,0.48488,0.14967,0.3194,1.09449,"서지성역:송하윤,문예슬역:윤보미,탁기현역:공민정,정국희역:이준영,황가을역:강말금,오병길역:정민성,제갈수원역:김기리,옥동진역:남민우,조용환역:김현명,변하리역:박한솔,한유진역:주우재,방정한역:이시훈,감상식역:김태겸,감오중역:김경일,포토그래퍼역:홍윤화,한유진모역:노사연,한유진부역:이무송"
20201201,MBC,174207,180631,제발그남자만나지마요,<2부>,3회,서울/경기/부산/대전/대구/광주/울산/강원/충북/충남/전북/전남/경북/제주,002424,드라마&영화,드라마,미니시리즈,0.05837,0.47646,0.05637,0.34811,1.30153,0.50022,1.39788,0.11784,0.09067,0.17761,0.94915,0.65859,0.58959,1.47629,"서지성역:송하윤,문예슬역:윤보미,탁기현역:공민정,정국희역:이준영,황가을역:강말금,오병길역:정민성,제갈수원역:김기리,옥동진역:남민우,조용환역:김현명,변하리역:박한솔,한유진역:주우재,방정한역:이시훈,감상식역:김태겸,감오중역:김경일,포토그래퍼역:홍윤화,한유진모역:노사연,한유진부역:이무송"
20201201,MBC,191341,194321,찬란한내인생,,101회,전국,002940,드라마&영화,드라마,일일연속극,1.42512,1.96898,2.11804,2.36042,3.2069,4.02365,5.9745,1.96594,0.84201,1.68949,2.77788,4.22899,6.37261,7.82831,"박복희역:심이영,고상아역:진예솔,장시경역:최성재,기차반역:원기준,고충역:이정길,조은임역:김영란,정영숙역:오미연,심숙역:양혜진,남지애역:한소영,박현희역:유하,이동윤역:정시훈,기은수역:최승훈,기은하역:권지민,임세라역:김민서,기신역:안석환,유정우역:강석정"
20201201,MBC,212152,215646,카이로스,<1부>,10회,전국,003454,드라마&영화,드라마,미니시리즈,0.64609,1.34323,0.39094,1.63068,1.58277,2.96969,2.34731,0,0.93488,0.56234,1.23636,3.09344,2.65815,1.93659,"김서진역:신성록,한애리역:이세영,서도균역:안보현,강현채역:남규리,임건욱역:강승윤,박수정역:이주명,곽송자역:황정민,유서일역:신구,김진호역:고규필,이택규역:조동인,박호영역:임철형,정혜경역:소희정,최덕호역:전광진,이태우역:정성준,강병석역:이태구,김서진어린시절역:이정준,김다빈역:심혜연,퀵배달부역:이시언"
20201201,MBC,215829,223223,카이로스,<2부>,10회,전국,003354,드라마&영화,드라마,미니시리즈,0.53237,0.49661,0.57197,1.25636,1.53675,2.0242,2.2922,0,0.56679,0.37324,1.10773,2.93439,2.17725,2.3029,"김서진역:신성록,한애리역:이세영,서도균역:안보현,강현채역:남규리,임건욱역:강승윤,박수정역:이주명,곽송자역:황정민,유서일역:신구,김진호역:고규필,이택규역:조동인,박호영역:임철형,정혜경역:소희정,최덕호역:전광진,이태우역:정성준,강병석역:이태구,김서진어린시절역:이정준,김다빈역:심혜연,퀵배달부역:이시언"
20201201,SBS,083653,090814,불새2020,,27회,전국,003121,드라마&영화,드라마,아침드라마,2.63142,2.35097,1.28306,1.54106,3.63114,2.56367,4.84476,1.03417,2.63499,0.93256,2.76319,2.44361,4.39634,6.58341,"이지은역:홍수아,장세훈역:이재우,서정민역:서하준,서정인역:서하준,미란역:박영린,최명화역:성현아,강사장역:강성진,조현민역:김승현,박광철역:김병춘,남복자역:옥지영,김호진역:김호창,한나경역:오초희,서문수역:김종석,조현숙역:양혜진,장지욱역:신성균,이상범역:최령,이영은역:정서하,여진역:유이준"
20201201,SBS,215523,223318,펜트하우스,<1부>,11회,전국,003755,드라마&영화,드라마,미니시리즈,2.32151,2.98195,3.80085,5.4648,4.66648,10.31022,7.14761,1.01865,3.03849,4.70927,7.6794,10.05632,11.38047,7.95949,"심수련역:이지아,천서진역:김소연,오윤희역:유진,주단태역:엄기준,강마리역:신은경,이규진역:봉태규,하윤철역:윤종훈,구호동역:박은석,고상아역:윤주희,마두기역:하도권,윤태주역:이철민,양미옥역:김로사,배로나역:김현수,유제니역:진지희,주석훈역:김영대,민설아역:조수민,주석경역:한지현,하은별역:최예빈,이민혁역:이태빈,주혜인역:나소예,로건리역:박은석,조상헌역:변우민,조비서역:김동규"
20201201,SBS,223528,230547,펜트하우스,<2부>,11회,전국,003019,드라마&영화,드라마,미니시리즈,0.83756,3.67199,3.82403,5.90355,6.0464,12.14202,7.66637,1.85921,4.28378,4.66574,8.62134,14.52762,13.52876,8.72625,"심수련역:이지아,천서진역:김소연,오윤희역:유진,주단태역:엄기준,강마리역:신은경,이규진역:봉태규,하윤철역:윤종훈,구호동역:박은석,고상아역:윤주희,마두기역:하도권,윤태주역:이철민,양미옥역:김로사,배로나역:김현수,유제니역:진지희,주석훈역:김영대,민설아역:조수민,주석경역:한지현,하은별역:최예빈,이민혁역:이태빈,주혜인역:나소예,로건리역:박은석,조상헌역:변우민,조비서역:김동규"
20201201,OBS,182422,192432,인수대비,,25회,전국,010010,드라마&영화,드라마,주간연속극,0,0,0.0077,0,0,0.21067,0.21059,0,0.01298,0,0.00293,0.02651,0.21122,0.35261,"인수대비역:채시라,인수대비어린시절역:함은정,정희왕후역:김미숙,수양대군(세조)역:김영호,도원군(의경세자)역:백성현,폐비윤씨역:전혜빈,성종역:백성현,한명회역:손병호,초선역:유호린,연산군역:진태현,장녹수역:전소민,삼월역:황효은,송이(폐비윤씨)역:진지희,윤창년역:한보배,소용엄씨역:박탐희,귀인정씨역:정요숙,단종역:채상우,단종비역:조정은,안평대군역:이광기,간난이역:송지현,예종역:노영학,인혜대비역:이연두,공혜왕후역:이지우,정선군부인한씨역:김가연"
20201201,JTBC,213511,224026,라이브온,,3회,전국,010515,드라마&영화,드라마,미니시리즈,0.54853,0.35552,0.17236,0.05955,1.17663,0.38369,0.26893,0.60911,0.32063,0.29311,0.51929,0.8531,0.84587,0.53708,"고은택역:황민현,백호랑역:정다빈,도우재역:노종현,지소현역:양혜지,강재이역:연우,김유신역:최병찬,신진국역:김은수,정희수역:이세희,김은하역:우다비,권성준역:현우석,김희원역:양정연,박영재역:조준영,도우솔역:우연,정빈역:신윤섭,수진역:최수진"
20201201,tvN,051720,064806,슬기로운의사생활,,3회,전국,013046,드라마&영화,드라마,미니시리즈,0,0,0.00201,0.06804,0.02733,0.30989,0.01868,0,0.00981,0,0.07117,0.24061,0.00261,0.01369,"이익준역:조정석,안정원역:유연석,김준완역:정경호,양석형역:김대명,채송화역:전미도,정로사역:김해숙,주종수역:김갑수,도재학역:정문성,용석민역:문태유,장겨울역:신현빈,안치홍역:김준한,봉광현역:최영준,추민하역:안은진,허선빈역:하윤경,명은원역:김혜인,장윤복역:조이현,장홍도역:배현성,송수빈역:김수진,소이현역:윤혜리,배준희역:신도현,주전역:조승연,황재신역:양조아,이우주역:김준,민기준역:서진원,종세혁역:전광진,이영하역:이노아,김재환역:이달,국해성역:이혜은,함덕주역:김비비,한현희역:이지원,한승주역:김지성,은선진역:설유진,이익순역:곽선영,조영혜역:문희경,양태양역:남명렬,김태연역:이소윤,천명태역:최영우,선우희수역:박한솔,장겨울남동생역:박정우,고아라역:고아라"
