BRDCST_DE,BRDCST_END_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20210701,20210701,KBS1,203115,205920,속아도꿈결,,68회,전국,002805,드라마&영화,드라마,일일연속극,2.47314,4.90772,0.54786,3.43582,4.7743,4.98535,17.81918,1.79623,3.47549,1.90601,3.44735,5.12523,10.87632,20.61794,"금종화역:최정우,강모란역:박준금,금상백역:류진,인영혜역:박탐희,금상구역:임형준,오민희역:윤해영,금상민역:이태구,한그루역:왕지혜,한다발역:함은정,민가은역:주아름,최지완역:박재정,현시운역:주종혁,금민아역:김인이,금인서역:옥진욱,민솔역:이고은,최이재역:서우승,기유영역:양소민,임헌역:조한결,이제문역:유장영"
20210701,20210701,KBS2,092259,095106,속아도꿈결,,67회,전국,002807,드라마&영화,드라마,일일연속극,0.09274,0.56727,0.22441,0.01845,0.44658,0.57599,1.71791,0,0.89498,0.67346,0.00404,0.86738,1.05092,2.23378,"금종화역:최정우,강모란역:박준금,금상백역:류진,인영혜역:박탐희,금상구역:임형준,오민희역:윤해영,금상민역:이태구,한그루역:왕지혜,한다발역:함은정,민가은역:주아름,최지완역:박재정,현시운역:주종혁,금민아역:김인이,금인서역:옥진욱,민솔역:이고은,최이재역:서우승,기유영역:양소민,임헌역:조한결,이제문역:유장영"
20210701,20210701,KBS2,110751,124320,미스몬테크리스토,,,전국,013529,드라마&영화,드라마,일일연속극,0.35271,0.29738,0.34837,0.11591,0.26073,0.47189,1.05018,0.09045,0.12351,0.19419,0.09336,0.57663,0.48077,1.4151,"고은조역:이소연,오하라역:최여진,차선혁역:경성환,오하준역:이상보,고상만역:정승호,배순정역:김미라,고은결역:한기윤,황지나역:오미희,왕퉁조역:이얀,신덕규역:서지원,주세린역:이다해,오병국역:이황의,금은화역:경숙,한영애역:선우용여,차훈역:장선율,윤초심역:이미영,차보미역:이혜란,주태식역:권오현,나욱도역:안희성,박봉숙역:김애란"
20210701,20210701,KBS2,195051,202652,미스몬테크리스토,,99회,전국,003601,드라마&영화,드라마,일일연속극,3.48534,2.77978,2.58247,3.22561,4.6603,6.89872,17.85035,1.65586,4.28188,2.19078,5.06627,7.40236,14.25281,21.79928,"고은조역:이소연,오하라역:최여진,차선혁역:경성환,오하준역:이상보,고상만역:정승호,배순정역:김미라,고은결역:한기윤,황지나역:오미희,왕퉁조역:이얀,신덕규역:서지원,주세린역:이다해,오병국역:이황의,금은화역:경숙,한영애역:선우용여,차훈역:장선율,윤초심역:이미영,차보미역:이혜란,주태식역:권오현,나욱도역:안희성,박봉숙역:김애란"
20210701,20210701,MBC,085311,092217,밥이되어라,,118회,전국,002906,드라마&영화,드라마,일일연속극,0.57542,1.17337,0.35394,0.52733,0.70944,1.36971,1.9633,0,0.80544,0.44986,0.68948,1.26746,2.19864,1.59508,"영신역:정우연,정훈역:권혁,다정역:강다현,오복역:조한준,경수역:재희,숙정역:김혜옥,종권역:남경읍,종우역:변우민,민경역:최수린,준영역:권도균,성찬역:이루,경철역:김영호,세진역:오영실,완수역:김정호,맹순역:김민경,용구역:한정호,필선역:권소이,어린영신역:김시하,어린정훈역:서윤혁,어린다정역:이소윤,어린오복역:한창민"
20210701,20210701,MBC,104853,115203,미치지않고서야,,3회,전국,010310,드라마&영화,드라마,미니시리즈,0.70653,0.40287,0.14655,0.21663,0.56162,0.52478,0.60451,0.01336,0.3138,0.43659,0.49559,0.69968,0.67533,0.99971,"최반석역:정재영,당자영역:문소리,한세권역:이상엽,서나리역:김가은,노병국역:안내상,팽수곤역:박원상,공정필역:박성근,신한수역:김남희,신정아역:차청화,한승기역:조복래,고정식역:김중기,배정탁역:김진호,기정현역:동현배,안준수역:백민현,편동일역:오용,소상욱역:임현수,계보람역:천희주,오재일역:임일규,노재열역:강주상,박훈정역:강연우"
20210701,20210701,MBC,191051,193959,밥이되어라,,119회,전국,002908,드라마&영화,드라마,일일연속극,1.24949,0.81942,0.78585,2.0151,1.85008,2.43762,6.13395,0.16962,0.71195,0.73212,2.31668,3.97233,5.13053,8.12521,"영신역:정우연,정훈역:권혁,다정역:강다현,오복역:조한준,경수역:재희,숙정역:김혜옥,종권역:남경읍,종우역:변우민,민경역:최수린,준영역:권도균,성찬역:이루,경철역:김영호,세진역:오영실,완수역:김정호,맹순역:김민경,용구역:한정호,필선역:권소이,어린영신역:김시하,어린정훈역:서윤혁,어린다정역:이소윤,어린오복역:한창민"
20210701,20210701,MBC,210100,220411,미치지않고서야,,4회,전국,010311,드라마&영화,드라마,미니시리즈,0.00771,0.28032,0.54627,0.47155,1.57156,2.19239,2.92583,0,1.14799,0.38166,0.77833,1.55034,3.02519,3.1952,"최반석역:정재영,당자영역:문소리,한세권역:이상엽,서나리역:김가은,노병국역:안내상,팽수곤역:박원상,공정필역:박성근,신한수역:김남희,신정아역:차청화,한승기역:조복래,고정식역:김중기,배정탁역:김진호,기정현역:동현배,안준수역:백민현,편동일역:오용,소상욱역:임현수,계보람역:천희주,오재일역:임일규,노재열역:강주상,박훈정역:강연우"
20210702,20210702,MBC,011521,015959,미치지않고서야,,4회,전국,004438,드라마&영화,드라마,미니시리즈,0.46323,0.02763,0.02384,0.59014,0.47022,0.77983,0.53888,0,0.08807,0.18035,0.59438,0.54274,0.21914,0.50031,"최반석역:정재영,당자영역:문소리,한세권역:이상엽,서나리역:김가은,노병국역:안내상,팽수곤역:박원상,공정필역:박성근,신한수역:김남희,신정아역:차청화,한승기역:조복래,고정식역:김중기,배정탁역:김진호,기정현역:동현배,안준수역:백민현,편동일역:오용,소상욱역:임현수,계보람역:천희주,오재일역:임일규,노재열역:강주상,박훈정역:강연우"
20210701,20210701,SBS,083532,090629,아모르파티,,59회,전국,003057,드라마&영화,드라마,아침드라마,0.87399,0.66213,0.87239,1.44717,2.98258,3.72513,5.56979,1.24063,1.58946,1.04098,1.52434,2.78569,5.21791,5.59105,"도연희역:최정윤,한재경역:안재모,강유나역:배슬기,장준호역:박형준,고상혜역:윤미라,장철용역:김종구,조민정역:정애연,박윤철역:김홍표,서순분역:이경진,신형자역:이화영,서민구역:권재환,진혜진역:은희수,장준희역:김여진,황철오역:박선준,장서우역:장유빈,서형진역:홍준기,한하늘역:정지훈,황우주역:구본준,유정연역:이상이,최한결역:김태양,이미소역:이루아"
