BRDCST_DE,BRDCST_END_DE,CHNNEL_NM,PROGRM_BEGIN_TIME,PROGRM_END_TIME,PROGRM_NM,PROGRM_DC,BRDCST_TME_NM,PROGRM_BRDCST_AREA_NM,BRDCST_TIME,PROGRM_GENRE_LCLAS_NM,PROGRM_GENRE_MLSFC_NM,PROGRM_GENRE_SCLAS_NM,MALE_4_9YO_WTCHNG_RT,MALE_N10S_WTCHNG_RT,MALE_N20S_WTCHNG_RT,MALE_N30S_WTCHNG_RT,MALE_N40S_WTCHNG_RT,MALE_N50S_WTCHNG_RT,MALE_N60S_ABOVE_WTCHNG_RT,FEMALE_4_9YO_WTCHNG_RT,FEMALE_N10S_WTCHNG_RT,FEMALE_N20S_WTCHNG_RT,FEMALE_N30S_WTCHNG_RT,FEMALE_N40S_WTCHNG_RT,FEMALE_N50S_WTCHNG_RT,FEMALE_N60S_ABOVE_WTCHNG_RT,CST_CN
20211201,20211201,KBS1,203126,205920,국가대표와이프,,,전국,002754,드라마&영화,드라마,일일연속극,2.22783,0.88527,0.29278,1.67636,1.41197,3.34685,11.12661,1.95276,0.78907,0.98699,1.78064,3.11222,6.11643,10.73837,"서초희역:한다감,강남구역:한상진,서강림역:심지호,나선덕역:금보라,오장금역:양미경,오풍금역:조은숙,서보리역:윤다영,강석구역:신현탁,한슬아역:정보민,최선해역:오유나,노원주역:조향기,방형도역:신승환,수선중역:최종남,고성만역:김덕현,양재민역:한정우,여의경역:김가란,구로미역:김재인,옥수현역:안정호,이매리역:한소현,문정규역:문일택,오금성역:김나온,송파란역:김채윤,공주아역:최유주,김동하역:이명준,강리안역:김태연,방사랑역:이채빈,방배수역:안석환"
20211201,20211201,KBS2,092342,095134,국가대표와이프,,,전국,002752,드라마&영화,드라마,일일연속극,0,1.35758,0.22049,0.05636,0.87276,0.13221,1.66102,0.08754,1.22335,0.02621,0.02083,1.39739,0.58369,1.6393,"서초희역:한다감,강남구역:한상진,서강림역:심지호,나선덕역:금보라,오장금역:양미경,오풍금역:조은숙,서보리역:윤다영,강석구역:신현탁,한슬아역:정보민,최선해역:오유나,노원주역:조향기,방형도역:신승환,수선중역:최종남,고성만역:김덕현,양재민역:한정우,여의경역:김가란,구로미역:김재인,옥수현역:안정호,이매리역:한소현,문정규역:문일택,오금성역:김나온,송파란역:김채윤,공주아역:최유주,김동하역:이명준,강리안역:김태연,방사랑역:이채빈,방배수역:안석환"
20211201,20211201,KBS2,110659,121015,학교2021,<1회>,1회,전국,010316,드라마&영화,드라마,미니시리즈,0,0.1063,0.1002,0.10072,0.17882,0.36177,0.72663,0,0.17698,0.24761,0.20369,0.51064,0.36174,0.83778,"공기준역:김요한,진지원역:조이현,정영주역:추영우,강서영역:황보름별,이강훈역:전석호,공영수역:박인환,지호성역:김강민,고은비역:서희선,구미희역:이지하,송채린역:김규선,이한수역:김민상,신철민역:박근록,오장석역:신철진,김영나역:고은민,여삼열역:임재근,진덕규역:조승연,조용미역:김수진,진지수역:김예지,김선자역:조련,정철주역:서재우,이재혁역:이상준,이재희역:윤이레,정민서역:이하은,홍민기역:김진곤,전종복역:김누림,조태리역:박가률,이효주역:정예서,조서현역:조서현,권샤론역:권샤론"
20211201,20211201,KBS2,122158,132424,학교2021,<2회>,2회,전국,010226,드라마&영화,드라마,미니시리즈,0,0.4382,0.39967,0.12847,0.84336,0.40187,0.78684,0.39535,0.023,0.00884,0.57967,0.22591,0.30591,0.9101,"공기준역:김요한,진지원역:조이현,정영주역:추영우,강서영역:황보름별,이강훈역:전석호,공영수역:박인환,지호성역:김강민,고은비역:서희선,구미희역:이지하,송채린역:김규선,이한수역:김민상,신철민역:박근록,오장석역:신철진,김영나역:고은민,여삼열역:임재근,진덕규역:조승연,조용미역:김수진,진지수역:김예지,김선자역:조련,정철주역:서재우,이재혁역:이상준,이재희역:윤이레,정민서역:이하은,홍민기역:김진곤,전종복역:김누림,조태리역:박가률,이효주역:정예서,조서현역:조서현,권샤론역:권샤론"
20211201,20211201,KBS2,194938,202524,빨강구두,,93회,전국,003546,드라마&영화,드라마,일일연속극,3.46743,2.94341,1.40516,3.80541,4.53116,7.14322,18.42372,1.14725,2.80709,2.82891,4.86594,7.43304,12.69721,22.3781,"민희경역:최명길,김진아역:소이현,윤기석역:박윤재,윤현석역:신정윤,권혜빈역:정유민,권혁상역:선우재덕,권수연역:최영완,최숙자역:반효정,소옥경역:경인선,양선희역:이숙,소태길역:김광영,이건욱역:지상윤,정유경역:하은진,김소진역:이다니,정예은역:김리원,이태하역:차승우"
20211201,20211201,KBS2,213415,223845,학교2021,,3회,전국,010430,드라마&영화,드라마,미니시리즈,0.21418,0.61146,0.59781,0.48161,1.17269,1.64913,2.01203,0.60282,0.73749,1.17174,1.39845,1.52606,2.22477,2.77524,"공기준역:김요한,진지원역:조이현,정영주역:추영우,강서영역:황보름별,이강훈역:전석호,공영수역:박인환,지호성역:김강민,고은비역:서희선,구미희역:이지하,송채린역:김규선,이한수역:김민상,신철민역:박근록,오장석역:신철진,김영나역:고은민,여삼열역:임재근,진덕규역:조승연,조용미역:김수진,진지수역:김예지,김선자역:조련,정철주역:서재우,이재혁역:이상준,이재희역:윤이레,정민서역:이하은,홍민기역:김진곤,전종복역:김누림,조태리역:박가률,이효주역:정예서,조서현역:조서현,권샤론역:권샤론"
20211201,20211201,MBC,085343,092135,두번째남편,,73회,전국,002752,드라마&영화,드라마,일일연속극,5.14526,2.65374,0.59298,0.58841,2.22746,1.2847,2.18772,2.95838,3.11383,0.54764,1.37526,3.68781,2.48973,2.26776,"봉선화역:엄현경,윤재민역:차서원,윤재경역:오승아,문상혁역:한기웅,주해란역:지수원,윤대국역:정성모,배달봉역:이호성,정복순역:김희정,양말자역:최지연,문상미역:천이슬,김수철역:강윤,배서준역:신우겸,옥경이역:이칸희,박행실역:김성희,한곱분역:성병숙,강인호역:손광업,프로듀서역:토니안,선배트로트가수역:나태주"
20211201,20211201,MBC,122700,133831,옷소매붉은끝동,,5회,전국,011131,드라마&영화,드라마,미니시리즈,0.13557,0.11524,0.65022,0.58034,1.00389,0.74376,1.71979,0.17357,0.54956,0.33414,0.63075,1.6538,1.30157,1.67547,"이산역:이준호,성덕임역:이세영,홍덕로역:강훈,영조역:이덕화,제조상궁조씨역:박지영,중전김씨역:장희진,서상궁역:장혜진,홍정여역:조희봉,화완옹주역:서효림,혜빈홍씨역:강말금,강태호역:오대환,김복연역:이민지,배경희역:하율리,손영희역:이은샘,서계중역:문정대,정재화역:배제기,김두성역:김강민,정백익역:권현빈,청연군주역:김이온,청선군주역:조승희,강월혜역:지은,동궁내관역:윤효식,박상궁역:차미경,숙의문씨역:고하,성식역:양병열,홍단역:박서경,심휘원역:김병춘,화빈윤씨역:이서,어린이산역:이주원,어린덕임역:이설아,어린덕로역:최정후,어린복연역:윤해빈,어린경희역:이서현,어린영희역:조시연,사도세자역:도상우,노인역:이순재"
20211201,20211201,MBC,190356,193152,두번째남편,,74회,전국,002756,드라마&영화,드라마,일일연속극,0.90986,2.51921,1.12575,2.44147,2.79538,4.02664,8.58636,0.26263,2.25964,1.96755,3.61217,4.75159,8.79321,9.37458,"봉선화역:엄현경,윤재민역:차서원,윤재경역:오승아,문상혁역:한기웅,주해란역:지수원,윤대국역:정성모,배달봉역:이호성,정복순역:김희정,양말자역:최지연,문상미역:천이슬,김수철역:강윤,배서준역:신우겸,옥경이역:이칸희,박행실역:김성희,한곱분역:성병숙,강인호역:손광업,프로듀서역:토니안,선배트로트가수역:나태주"
20211202,20211202,MBC,001532,012907,옷소매붉은끝동,,5회,서울/경기/부산/대전/대구/울산/강원/충북/충남/전북/경북/경남/제주,011335,드라마&영화,드라마,미니시리즈,0,0.17157,0.04619,0.85139,0.49348,1.0679,1.44978,0.66838,0.07673,0.1215,0.71255,0.55583,1.21881,1.59573,"이산역:이준호,성덕임역:이세영,홍덕로역:강훈,영조역:이덕화,제조상궁조씨역:박지영,중전김씨역:장희진,서상궁역:장혜진,홍정여역:조희봉,화완옹주역:서효림,혜빈홍씨역:강말금,강태호역:오대환,김복연역:이민지,배경희역:하율리,손영희역:이은샘,서계중역:문정대,정재화역:배제기,김두성역:김강민,정백익역:권현빈,청연군주역:김이온,청선군주역:조승희,강월혜역:지은,동궁내관역:윤효식,박상궁역:차미경,숙의문씨역:고하,성식역:양병열,홍단역:박서경,심휘원역:김병춘,화빈윤씨역:이서,어린이산역:이주원,어린덕임역:이설아,어린덕로역:최정후,어린복연역:윤해빈,어린경희역:이서현,어린영희역:조시연,사도세자역:도상우,노인역:이순재"
